sub_id,user_id,start_date,end_date,price
714618,7238,2020-08-05,2020-09-05,0
713723,7179,2020-08-05,2020-09-05,0
711539,6940,2020-08-05,2020-09-05,0
732075,12701,2020-10-19,2020-11-02,0
713383,7122,2020-08-05,2020-09-05,0
711579,7063,2020-08-05,2020-09-05,0
714447,7124,2020-08-05,2020-09-05,0
715496,7185,2020-08-05,2020-09-05,0
713862,7186,2020-08-05,2020-09-05,0
714421,6947,2020-08-05,2020-09-05,0
702306,108,2020-08-05,2021-08-05,0
703642,1549,2020-08-05,2020-09-05,0
714573,7250,2020-08-05,2020-09-05,0
713905,7251,2020-08-05,2020-09-05,0
713906,7192,2020-08-05,2020-09-05,0
711690,7253,2020-08-05,2020-09-05,0
715007,7374,2020-08-05,2020-11-05,0
714551,7195,2020-08-05,2020-09-05,0
703525,1316,2020-08-05,2020-09-05,0
711658,7077,2020-08-05,2020-09-05,0
787745,6418,2020-09-05,2021-09-05,"4,25"
713658,7199,2020-08-05,2020-09-05,0
713736,7260,2020-08-05,2020-09-05,0
713631,7201,2020-08-05,2020-09-05,0
713001,7142,2020-08-05,2020-09-05,0
717078,8103,2020-08-09,2020-08-24,0
702761,364,2020-08-05,2020-09-05,0
716234,7625,2020-08-05,2020-09-05,0
713740,7026,2020-08-05,2020-09-05,0
714213,7087,2020-08-05,2020-09-05,0
711527,6968,2020-08-05,2020-09-05,0
713577,7209,2020-08-05,2020-09-05,0
713567,7150,2020-08-05,2020-09-05,0
734284,15551,2020-10-20,2020-11-03,0
735221,14472,2020-10-21,2020-11-04,0
714445,7273,2020-08-05,2020-09-05,0
715978,7334,2020-08-05,2020-09-05,0
702490,255,2020-08-05,2020-08-20,0
755701,31456,2020-12-21,2021-06-23,"11,75"
719404,7337,2020-08-27,2020-09-11,0
704163,2178,2020-08-05,2020-09-05,0
704501,1459,2020-08-05,2020-09-05,0
712855,7220,2020-08-05,2020-09-05,0
737961,18681,2020-10-23,2020-11-06,0
702446,82,2020-08-05,2020-09-05,0
714548,7163,2020-08-05,2020-09-05,0
715392,7404,2020-08-05,2020-09-05,0
713872,7225,2020-08-05,2020-09-05,0
715145,7286,2020-08-05,2021-08-05,0
714240,7287,2020-08-05,2020-09-05,0
715152,7168,2020-08-05,2021-08-05,0
712945,7289,2020-08-05,2020-09-05,0
714273,7350,2020-08-05,2020-09-05,0
713717,7171,2020-08-05,2020-09-05,0
715514,7172,2020-08-05,2020-09-05,0
704350,1953,2020-08-05,2020-09-05,0
712894,7294,2020-08-05,2020-09-05,0
714425,7055,2020-08-05,2020-09-05,0
711476,5016,2020-08-05,2020-09-05,0
715396,7117,2020-08-05,2020-09-05,0
714634,7298,2020-08-05,2020-09-05,0
713735,7239,2020-08-05,2020-09-05,0
711564,7000,2020-08-05,2020-09-05,0
732125,12761,2020-10-19,2020-11-02,0
713569,7242,2020-08-05,2020-09-05,0
711589,7123,2020-08-05,2020-09-05,0
